name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Chicago, IL, United States",2022-09-23,63.4,52.1,58.4,63.4,52.1,58.4,41.7,55,0,0,0,,0,0,21.9,10.2,166,1022.3,76.5,9.9,47.6,4.2,3,,2022-09-23T06:39:01,2022-09-23T18:46:02,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-09-24,72.8,54.2,62.4,72.8,54.2,62.4,50.9,66.7,0.055,100,20.83,rain,0,0,19.7,13,225.5,1012.3,92.8,9.7,41.4,3.6,2,,2022-09-24T06:40:04,2022-09-24T18:44:17,0.96,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-09-25,67.9,58.4,62.6,67.9,58.4,62.6,53,71.2,0.074,100,16.67,rain,0,0,30,15,289,1007.4,88.9,9.6,42.6,3.6,3,,2022-09-25T06:41:07,2022-09-25T18:42:33,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-09-26,64,52.5,57.7,64,52.5,57.7,43.1,58.8,0,0,0,,0,0,27.7,17.2,303.6,1011.4,46.3,9.9,80.6,7,6,,2022-09-26T06:42:10,2022-09-26T18:40:48,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-09-27,61,47.9,54.5,61,44.2,53.7,37.9,54.9,0,0,0,,0,0,28,17.9,320.7,1019.1,55.5,9.9,75.6,6.4,6,,2022-09-27T06:43:13,2022-09-27T18:39:04,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-09-28,60.9,47.6,54,60.9,42.5,53.2,40.2,60,0,0,0,,0,0,25.9,13.9,5,1030.2,53.9,9.9,65.2,5.6,5,,2022-09-28T06:44:17,2022-09-28T18:37:20,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-09-29,63.7,46.2,55,63.7,44.3,54.8,42.7,64,0,0,0,,0,0,14.8,8,71.1,1031.3,52.4,9.9,63,5.3,4,,2022-09-29T06:45:21,2022-09-29T18:35:36,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-09-30,65.6,48.7,57.6,65.6,48.7,57.6,44.9,64,0,0,0,,0,0,18.3,10.7,77.6,1025.3,16.6,9.9,66,5.6,5,,2022-09-30T06:46:25,2022-09-30T18:33:53,0.17,Clear,Clear conditions throughout the day.,clear-day,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-10-01,68.4,52.4,60.5,68.4,52.4,60.5,47.9,65.7,0,0,0,,0,0,23.5,16.2,19.1,1022.7,13.8,9.8,67.8,5.7,6,,2022-10-01T06:47:29,2022-10-01T18:32:10,0.21,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-10-02,66.7,56.7,60.7,66.7,56.7,60.7,50.5,69.7,0,0,0,,0,0,23.9,15.2,35.7,1026.6,36.3,9.9,27.6,2.4,1,,2022-10-02T06:48:33,2022-10-02T18:30:27,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-10-03,67.8,48.8,58.2,67.8,47.6,58.2,42.7,57.9,0,0,0,,0,0,13.4,8.6,73.3,1027.4,12.4,9.9,61.5,5.1,6,,2022-10-03T06:49:38,2022-10-03T18:28:45,0.28,Clear,Clear conditions throughout the day.,clear-day,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-10-04,74.3,46.7,60,74.3,46.7,60,41.6,55.5,0,0,0,,0,0,11.9,7.2,215.9,1023.3,29.4,9.9,55.3,4.8,3,,2022-10-04T06:50:43,2022-10-04T18:27:03,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-10-05,76.4,50.7,64.1,76.4,50.7,64.1,38.4,43.2,0,0,0,,0,0,19.7,9.6,227.1,1018.9,73.7,9.9,64,5.6,5,,2022-10-05T06:51:48,2022-10-05T18:25:22,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-10-06,75,56.5,63.9,75,56.5,63.9,48.5,58.9,0.088,100,16.67,rain,0,0,35.7,23.2,310.7,1017,86.3,9.7,82.4,7,5,,2022-10-06T06:52:54,2022-10-06T18:23:41,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-10-07,56.5,44.5,50.4,56.5,40.1,48.3,37.1,61,0,0,0,,0,0,34,18,1.9,1027.6,68.1,9.9,37.3,3.3,3,,2022-10-07T06:53:59,2022-10-07T18:22:00,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-10-08,59.4,38.4,48.6,59.4,33.8,46.7,30.5,52.7,0,0,0,,0,0,27.9,18.5,250.8,1027.1,28.7,9.9,49.9,4.2,3,,2022-10-08T06:55:05,2022-10-08T18:20:20,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-10-09,70,45,56.7,70,40.6,55,34.8,45.1,0,0,0,,0,0,22.1,12.1,239,1020.2,45.3,9.9,53.7,4.7,6,,2022-10-09T06:56:12,2022-10-09T18:18:41,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-10-10,74,50,60.2,74,50,60.2,44.6,59.2,0,0,0,,0,0,10.5,11.3,303.7,1020.4,25.8,9.7,60.4,5.2,6,,2022-10-10T06:57:18,2022-10-10T18:17:02,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-10-11,69.5,53.6,60.6,69.5,53.6,60.6,50,69.5,0.474,100,37.5,rain,0,0,30,17.7,189.5,1017.2,66.1,8.7,36.3,3.1,4,,2022-10-11T06:58:25,2022-10-11T18:15:24,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-10-12,64.8,52.2,60,64.8,52.2,60,50.6,71.5,0.395,100,54.17,rain,0,0,35.8,18.5,210.9,1006.8,85.6,9.3,34.7,3,2,,2022-10-12T06:59:32,2022-10-12T18:13:47,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"E1098,72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-10-13,55.8,41,48.3,55.8,36.5,45.3,31.8,54,0.001,100,4.17,rain,0,0,38.7,22.5,255.7,1006,46.8,9.9,63.1,5.4,5,,2022-10-13T07:00:40,2022-10-13T18:12:10,0.62,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-10-14,60.9,40.3,48.3,60.9,36,45.6,29,51,0.075,100,12.5,rain,0,0,35.1,17.2,229.8,1005.1,86.8,9.8,60.9,5.2,5,,2022-10-14T07:01:48,2022-10-14T18:10:34,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72534014819,KORD,KMDW,72530094846,F1983,F7086,74466504838,KPWK"
"Chicago, IL, United States",2022-10-15,53.8,36.5,46,53.8,32,43.2,33.3,62.7,0,0,0,,0,0,27.7,16.3,240.4,1012.3,41.4,9.9,69.4,6.1,6,,2022-10-15T07:02:56,2022-10-15T18:08:59,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-10-16,55.5,41.1,49.2,55.5,39.6,47.4,34.1,56.8,0,0,0,,0,0,30,19.2,287.1,1013.8,60.9,9.9,31.3,2.6,2,,2022-10-16T07:04:04,2022-10-16T18:07:25,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-10-17,45.1,39.2,41.7,38.8,30.3,33.6,27.9,57.8,0,0,0,,0,0,37,24.7,308,1012.6,88.2,9.9,23.9,2.2,1,,2022-10-17T07:05:13,2022-10-17T18:05:51,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-10-18,47.5,36.5,42.4,41.1,26.7,34.3,25.5,51.5,0,0,0,,0,0,33.3,20.9,318.8,1016.4,93.5,9.9,44,3.8,3,,2022-10-18T07:06:22,2022-10-18T18:04:19,0.78,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-10-19,49.1,35.1,42,43.5,27.4,35.5,23.1,48.4,0,0,0,,0,0,30.7,16.6,288,1015.6,39.4,9.9,78.8,6.8,6,,2022-10-19T07:07:32,2022-10-19T18:02:47,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,F7086,74466504838,KPWK"
"Chicago, IL, United States",2022-10-20,62.6,34.5,46.9,62.6,28,43.6,21.6,38.2,0,0,0,,0,0,25.1,12.2,232,1009.5,61.5,9.9,38.8,3.4,4,,2022-10-20T07:08:42,2022-10-20T18:01:16,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-10-21,77.4,44.6,59.9,77.4,40.6,58.7,35.6,43.4,0,0,0,,0,0,31.3,17.5,202.8,1007.1,40.6,9.9,74.7,6.4,6,,2022-10-21T07:09:52,2022-10-21T17:59:47,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-10-22,81.1,57.4,68.5,80.2,57.4,68.4,46.8,46.8,0,0,0,,0,0,29.5,17.5,189.3,1008.9,27.4,9.9,77,6.6,6,,2022-10-22T07:11:02,2022-10-22T17:58:18,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-10-23,80,63.8,71.4,80,63.8,71.4,52,51.4,0,0,0,,0,0,41.3,24.4,175.7,1011.7,42.1,9.9,69.2,5.8,5,,2022-10-23T07:12:13,2022-10-23T17:56:50,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-10-24,77.9,64.7,71.4,77.9,64.7,71.4,50.7,48.5,0.017,100,8.33,rain,0,0,36.6,21.4,177.4,1010.5,83.1,9.9,31.8,2.7,2,,2022-10-24T07:13:24,2022-10-24T17:55:24,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-10-25,71.6,50.5,60.7,71.6,50.5,60.7,51.1,73.3,0.782,100,62.5,rain,0,0,33.3,17.7,151.2,1005.1,97.2,7,8,0.6,0,,2022-10-25T07:14:36,2022-10-25T17:53:58,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-10-26,55.2,44.5,48.8,55.2,38.7,45.4,37.5,66.2,0.049,100,25,rain,0,0,32.3,20.4,326.7,1013.6,49.7,9.9,75.3,6.4,6,,2022-10-26T07:15:47,2022-10-26T17:52:34,0.04,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"72534014819,KORD,KMDW,72530094846,F1983,KPWK,74466504838"
"Chicago, IL, United States",2022-10-27,53.5,40.7,47.5,53.5,39.6,46.7,36.6,66.8,0,0,0,,0,0,18.6,11.9,98.2,1026.8,69.5,9.9,64.9,5.6,5,,2022-10-27T07:16:59,2022-10-27T17:51:11,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-10-28,60.2,45.4,51.7,60.2,42.6,50.7,37.6,59.4,0,0,0,,0,0,17.7,7.9,89.1,1029.1,44.9,9.9,73.7,6.2,6,,2022-10-28T07:18:11,2022-10-28T17:49:50,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-10-29,65.8,42.4,52.7,65.8,42.2,52.6,39.9,64.7,0,0,0,,0,0,12.8,10,84.1,1026.2,26.8,9.7,72.3,6.2,6,,2022-10-29T07:19:24,2022-10-29T17:48:29,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-10-30,64.6,48,55,64.6,48,55,44.4,68.6,0.043,100,20.83,rain,0,0,13.4,8.8,62.8,1016.2,84.2,8.8,29.1,2.4,2,,2022-10-30T07:20:37,2022-10-30T17:47:10,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-10-31,59.3,52.6,56.5,59.3,52.6,56.5,53,88.1,0.025,100,25,rain,0,0,12.3,7.7,17.4,1010.5,83.3,3.3,12,0.9,1,,2022-10-31T07:21:50,2022-10-31T17:45:52,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-11-01,69.5,46.6,57.2,69.5,44.8,56.8,41.6,60.2,0,0,0,,0,0,13.9,9.9,230.5,1019.4,5.6,8.9,72.2,6.2,6,,2022-11-01T07:23:03,2022-11-01T17:44:36,0.25,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-11-02,73,47.6,59.9,73,46.9,59.6,45.9,61.7,0,0,0,,0,0,23,10.8,169.8,1023.4,10.5,9.9,69.1,5.9,5,,2022-11-02T07:24:16,2022-11-02T17:43:21,0.29,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
